Country,GDP_USD_Billion
—,105568776.0
Americas,26854599.0
Asia,19373586.0
Asia,4409738.0
Europe,4308854.0
Asia,3736882.0
Europe,3158938.0
Europe,2923489.0
Europe,2169745.0
Americas,2089672.0
Americas,2081235.0
Europe,2062649.0
Asia,1721909.0
Oceania,1707548.0
Americas,1663164.0
Europe,1492432.0
Asia,1391778.0
Europe,1080880.0
Asia,1061902.0
Asia,1029303.0
Europe,869601.0
Asia,790728.0
Europe,748887.0
Americas,641102.0
Europe,624248.0
Europe,599052.0
Europe,594095.0
Asia,574231.0
Europe,554105.0
Asia,539223.0
Asia,515548.0
Europe,515199.0
Africa,506601.0
Asia,498978.0
Asia,449094.0
Asia,447026.0
Asia,440901.0
Asia,420516.0
Europe,405626.0
Africa,399015.0
Asia,382854.0
Africa,378110.0
Asia,367970.0
Americas,358557.0
Europe,348902.0
Americas,334689.0
Europe,330483.0
Europe,301670.0
Americas,268235.0
Asia,267893.0
Europe,267721.0
Oceania,251969.0
Asia,245695.0
Europe,239300.0
Asia,219570.0
Africa,206007.0
Europe,188505.0
Asia,164713.0
Africa,156083.0
Europe,148712.0
Africa,138781.0
Europe,127533.0
Americas,121291.0
Americas,121289.0
Americas,120838.0
Africa,118130.0
Africa,117877.0
Asia,104902.0
Americas,102309.0
Europe,100635.0
Americas,96628.0
Asia,92332.0
Europe,86971.0
Africa,85421.0
Asia,82649.0
Europe,78881.0
Europe,78346.0
Americas,77777.0
Americas,77313.0
Americas,77257.0
Africa,77047.0
Europe,73961.0
Europe,73543.0
Asia,70030.0
Africa,69474.0
Europe,68108.0
Africa,66622.0
Asia,63988.0
Asia,52061.0
Africa,49815.0
Africa,49792.0
Africa,48625.0
Europe,47398.0
Africa,46705.0
Africa,46297.0
Americas,46097.0
Asia,44870.0
Americas,42820.0
Asia,42097.0
Europe,41551.0
Asia,35841.0
Americas,33752.0
Americas,32860.0
Oceania,31362.0
Africa,31221.0
Asia,30864.0
Asia,30628.0
Africa,29931.0
Africa,29272.0
Europe,28625.0
Europe,28488.0
Americas,28223.0
Europe,27947.0
Americas,26580.0
Asia,23725.0
Africa,23330.0
Africa,21076.0
Africa,20776.0
Africa,20330.0
Europe,20177.0
Africa,19909.0
Asia,19206.0
Africa,19572.0
Asia,19529.0
Europe,19405.0
Africa,19236.0
Americas,17287.0
Americas,17254.0
Asia,16908.0
Africa,16617.0
Americas,16309.0
Asia,15988.0
Africa,15969.0
Europe,15829.0
Europe,15278.0
Africa,15099.0
Africa,14570.0
Americas,14114.0
Asia,14091.0
Africa,13486.0
Africa,13149.0
Africa,13031.0
Asia,12796.0
Asia,12309.0
Africa,11962.0
Africa,11277.0
Africa,10966.0
Europe,9990.0
Africa,9001.0
Africa,8738.0
Europe,7027.0
Africa,7012.0
Asia,7004.0
Americas,6117.0
Oceania,5385.0
Africa,4824.0
Africa,4375.0
Africa,3916.0
Europe,3669.0
Americas,3633.0
Africa,3520.0
Americas,3470.0
Africa,3234.0
Americas,3162.0
Africa,2736.0
Asia,2683.0
Africa,2666.0
Africa,2584.0
Africa,2468.0
Africa,2277.0
Americas,2262.0
Asia,1988.0
Africa,1950.0
Africa,1887.0
Americas,1864.0
Europe,1807.0
Oceania,1701.0
Africa,1348.0
Americas,1274.0
Oceania,1064.0
Americas,1052.0
Americas,1039.0
Oceania,898.0
Americas,681.0
Africa,625.0
Oceania,541.0
Oceania,456.0
Oceania,291.0
Oceania,262.0
Oceania,248.0
Oceania,151.0
Oceania,65.0
